id,title,flower_type,flower_style,seasonal,description,photo_main,photo_1,photo_2,photo_3,photo_4,photo_5,photo_6,is_published,list_date,florist_id,occasion
8,Blooms Baby Hamper Gift Set (Violet),Global Selection of Blooms,Flower and  Baby Gift Set,Spring,"The perfect baby hamper for the little ones! A beautiful bouquet arrangement of seasonal blooms and a set of 6 pieces gift set from PAVO BABY; BPA FREE and FDA certified; the set includes a teether, pacifier clipper, cotton bib, water cup set, bowl and plate set with cutleries.",products/2025/10/19/Pasted_image_15.png,,,,,,,True,2025-10-19 12:45:43+08:00,2,"New Born, Gift"
3,Marjorelle,Orchids with extravagant foliage,Deluxe Crystal Glass flower Set,Spring,"Marjorelle , the vase arrangement showcases the sophisticated allure of Orchids, standing tall among an array of extravagant foliage. The lush greenery provides a sumptuous backdrop, highlighting the Orchids' exotic charm and transforming any space into a luxurious tropical haven.

Floral Arrangement includes: Orchids with extravagant foliage

Size in approximate diameter: Size : 110cm(H) x 70cm(W)

 

*Vase style may vary slightly, subject to stock availability",products/2025/10/19/Pasted_image_13.png,,,,,,,True,2025-10-19 12:28:51+08:00,3,"Best Sellers, Fall Collection"
4,Carrousel,"Global Selection of Blooms, Sunflowers",Flowers with Stand,Spring,"Timeless arrangement with stand.
 
Step into a world of vibrant motion with Carrousel, a show-stopping floral stand that captivates with its playful energy and bold contrasts. This dynamic arrangement marries exotic foliage with a global selection of blooms, featuring the unexpected charm of pistachio-hued hydrangeas and the joyful radiance of sunflowers. Like its namesake, this design delights with a sense of movement and celebration.

Dimension : 
75cm(W) x 80cm(H) *flower size only
75cm(W) x 190cm(H) *including the stand",products/2025/10/19/Pasted_image_12.png,,,,,,,True,2025-10-19 12:31:58+08:00,4,Grand Opening
6,Louvre,"snapdragons, amaryllis, eustomas, and roses",Flowers with Stand,Spring,"Elegant and sophisticated arrangement with stand.
 
Lush and exotic foliage embrace gracious snapdragons, splendid amaryllis, eye-catching eustomas, and timeless roses to create a striking display.
 
 Dimension :
 
 80cm(W) x 85cm(H) *flower size only
 
 80cm(W) x 190cm(H) *including the stand",products/2025/10/19/Pasted_image_10.png,,,,,,,True,2025-10-19 12:36:57+08:00,1,"Best Sellers, Grand Opening"
7,Exquisite Peace,"Anthurium, Delphinium, Hydrangea, and Roses",Flowers with Stand,Spring,"Timeless arrangement with stand.
 
Celebrate a life beautifully lived with Exquisite Peace, a serene floral arrangement that honors cherished memories with quiet elegance. This graceful standing display combines the symbolic beauty of anthurium (representing lasting care), delphinium (symbolizing spiritual connection), and hydrangea (embracing heartfelt emotions), complemented by roses, stock, and eustoma in soothing tones. Set against lush foliage, it creates a natural sanctuary of remembrance and peace.

Dimension: 95cm(W) x 215cm(H)",products/2025/10/19/Pasted_image_14.png,,,,,,,True,2025-10-19 12:41:39+08:00,3,"Best Sellers, Grand Opening"
5,Amour Amour,"Pink Anthurium, Tulip, Rancuculus, Eustoma & Didiscus in Glass Container.",Deluxe Crystal Glass flower Set,Spring,"A chic arrangement Amour Amour cradles a selection of Pink Anthuriums, soft-hued Tulips, and plush Ranunculus, accented by the graceful Eustoma and lace-like Didiscus. This arrangement exudes a modern yet soft charm, creating a statement piece that's both sophisticated and inviting.

Floral Arrangement includes: Pink Anthurium, Tulip, Rancuculus, Eustoma & Didiscus in Glass Container.

Dimension: (Small)25cm H x 30cm W, (Medium) - 30cm H x 30cm W

 

*Vase style may vary slightly, subject to stock availability",products/2025/10/19/Pasted_image_11.png,,,,,,,True,2025-10-19 12:34:45+08:00,2,"Best Sellers, Fall Collection, Grand Opening"
9,Lasting Love,"White Rose, Ranunculus, Viburnum, Eustoma, Hypericum, Lilac & Assorted Greenery.",A Bouquet of Flowers,Valentine's Day,"Lasting Love is a symphony of elegance with pristine White Roses and tender Ranunculus. The freshness of Viburnum, the poise of Eustoma, and the charm of Hypericum are accented by fragrant Lilac, all nestled within a verdant array of assorted greenery for a breath of serene sophistication.

Floral Arrangement includes: White Rose, Ranunculus, Viburnum, Eustoma, Hypericum, Lilac & Assorted Greenery.

Size in approximate diameter: (Small) 30cm, (Medium) 40cm, (Large) 50cm",products/2025/10/19/Pasted_image_9.png,,,,,,,True,2025-10-19 12:49:57+08:00,1,"Best Sellers, Anniversies, Engagements"
12,Caps Off to Joy Bouquet,"Graduation Bunny (bunny's outfit might be different), Helianthus, Gerbera, Baby Rose, Eustoma, Oxypetalum Tweedia, Panicum fountain",A Bouquet of Flowers,Spring,"Hop into celebration with a bouquet that’s equal parts playful bunny charm and sunny graduation glow! Perfect for lighting up their big day, this cheerful mix of warmth and whimsy makes every photo, party, and new adventure feel extra special.

Here’s to their shining moment!

Floral Arrangement includes: Graduation Bunny (bunny's outfit might be different), Helianthus, Gerbera, Baby Rose, Eustoma, Oxypetalum Tweedia, Panicum fountain

Size:
35cm (W) X 45cm (H)",products/2025/10/19/Pasted_image_5.png,,,,,,,True,2025-10-19 12:57:55+08:00,2,"Best Sellers, Celebrating Graduation"
11,The Grad Gleam Bouquet,"Pompon mum, Rose, Eustoma, Oxypetalum Tweedia, Astilbe",A Bouquet of Flowers,Spring,"Toast to triumphs with a bouquet that blends playful grins and graduation pride! Perfect for honoring their big day, this cheerful companion, complete with a cap-toting smile, brings warmth to every photo, party, and exciting new chapter ahead.

Floral Arrangement includes: Pompon mum, Rose, Eustoma, Oxypetalum Tweedia, Astilbe

Size:
20cm (W) X 30cm (H)",products/2025/10/19/Pasted_image_8.png,,,,,,,True,2025-10-19 12:57:01+08:00,1,"Best Sellers, Fall Collection, Celebrating Graduation"
2,Misthaven Rabbit,"Pink Rose, Spray rose, Stock, Scabiosa, Astilbe and Greenery",Boxes Flower and Gift,Spring,"Misthaven Rabbit reminds you of dawn’s first blush kissed by dew, where silken petals drift like whispered secrets. A wild garden’s tender soul, woven with textures soft as twilight mist.

Amidst this idyllic reverie, a gentle companion watches - a symbol of quiet wonder and timeless grace.

Floral Arrangement includes: Pink Rose, Spray rose, Stock, Scabiosa, Astilbe and Greenery


Size:
40cm (W) X 50cm (H)",products/2025/10/19/Pasted_image_14.0.png,products/2025/10/19/Pasted_image_14.1.png,products/2025/10/19/Pasted_image_14.2.png,,,,,True,2025-10-19 12:24:04+08:00,5,"New Born, Gift, Birthday"
